[Wed May 24 2017 20:59:45 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected identifier| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 26
[Thu May 25 2017 17:23:29 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:32 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:35 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:38 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:41 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:44 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:47 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:23:50 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 47
[Thu May 25 2017 17:25:56 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 49
[Thu May 25 2017 17:25:59 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 49
[Thu May 25 2017 17:26:02 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 49
[Thu May 25 2017 17:26:05 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 49
[Thu May 25 2017 17:26:08 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 49
[Thu May 25 2017 17:28:13 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:15 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:18 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:21 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:24 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:27 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:49 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:50 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:50 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:54 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:28:57 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:29:00 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:29:03 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:29:06 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:29:09 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:29:12 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:38 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:41 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:44 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:47 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:50 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:53 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:56 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:30:59 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:02 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:05 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:08 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:11 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:14 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:17 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:20 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:23 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:26 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:29 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:32 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:35 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:38 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:41 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
[Thu May 25 2017 17:31:44 GMT+0900 (KST)] Uncaught ReferenceError: $ is not defined| Script: file:///home/pi/test-smart-mirror/smart-mirror/plugins/remote/controller.js Line: 60
